annee,mois,jour,jour_semaine,id_ligne,mode_transport,precipitation,vent,neige,temperature,meteo_defavorable,accessibilite,air_conditionne
2026,3,13,0,C01747,rail,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01748,rail,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01737,rail,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01379,metro,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C02372,rail,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01743,rail,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01746,rail,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01375,metro,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01386,metro,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01745,rail,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01742,rail,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C02370,rail,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01739,rail,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01857,rail,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01371,metro,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01382,metro,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01376,metro,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01378,metro,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C02368,rail,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01736,rail,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01387,metro,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01730,rail,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01728,rail,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01729,rail,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01731,rail,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01374,metro,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01383,metro,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01741,rail,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01381,metro,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C02711,rail,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01384,metro,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C01863,rail,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01372,metro,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01744,rail,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01727,rail,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01380,metro,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01738,rail,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01740,rail,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01373,metro,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C02375,rail,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01377,metro,2.9,25.0,0.0,8.5,0,FALSE,FALSE
