annee,mois,jour,jour_semaine,id_ligne,mode_transport,precipitation,vent,neige,temperature,meteo_defavorable,accessibilite,air_conditionne
2026,3,13,0,C00324,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01535,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C01605,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C02314,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C00346,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C00176,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01396,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C00755,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C02235,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01637,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00231,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00975,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01701,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01180,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C01712,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01014,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01302,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00909,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00571,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C02060,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02480,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C02621,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02687,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02806,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00305,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C01991,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01601,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C01104,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C01509,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C00252,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00506,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C00124,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C00410,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C00828,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01822,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C00535,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00771,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C02103,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C02552,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01791,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01832,bus,2.9,25.0,0.0,8.5,0,FALSE,unknown
2026,3,13,0,C00139,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C00943,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01715,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01398,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01580,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C01494,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00689,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01330,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01126,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C02175,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C00641,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01118,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00275,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00050,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C02400,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C02571,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00749,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C02802,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C00515,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C00866,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01389,tram,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C02291,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01836,bus,2.9,25.0,0.0,8.5,0,FALSE,unknown
2026,3,13,0,C01878,bus,2.9,25.0,0.0,8.5,0,TRUE,unknown
